Gene stable ID	Macaque gene stable ID	dN with Macaque	dS with Macaque	Macaque homology type
ENSG00000154370	ENSMMUG00000005306	0.0026	0.1771	ortholog_one2one
ENSG00000162931	ENSMMUG00000005307	0.0171	0.1895	ortholog_one2one
ENSG00000122188	ENSMMUG00000054133	0.0319	0.0709	ortholog_one2one
ENSG00000162896	ENSMMUG00000011220	0.0548	0.0878	ortholog_one2one
ENSG00000162604	ENSMMUG00000010931	0.0135	0.1073	ortholog_one2one
ENSG00000162897	ENSMMUG00000011221			ortholog_one2one
ENSG00000143702	ENSMMUG00000019914	0.0062	0.0472	ortholog_one2one
ENSG00000182795	ENSMMUG00000022173	0.0364	0.0593	ortholog_one2one
ENSG00000077522	ENSMMUG00000020471	0.0044	0.1531	ortholog_one2one
ENSG00000058673	ENSMMUG00000010539	0.0092	0.0205	ortholog_one2many
ENSG00000132718	ENSMMUG00000021312	0.0043	0.0368	ortholog_one2one
ENSG00000143458	ENSMMUG00000008402	0.0193	0.0521	ortholog_one2one
ENSG00000123836	ENSMMUG00000022170	0.0036	0.0696	ortholog_one2one
ENSG00000180667	ENSMMUG00000022171	0.0114	0.0192	ortholog_one2one
ENSG00000132849	ENSMMUG00000003113	0.0184	0.0543	ortholog_one2one
ENSG00000143434	ENSMMUG00000007643	0.0104	0.0428	ortholog_one2one
ENSG00000116984	ENSMMUG00000010073	0.0146	0.0517	ortholog_one2one
ENSG00000054282	ENSMMUG00000019994	0.0218	0.0651	ortholog_one2one
ENSG00000117020	ENSMMUG00000019995	0	0	ortholog_one2one
ENSG00000168148	ENSMMUG00000055227	0.006	0.2237	ortholog_one2one
ENSG00000142937	ENSMMUG00000051594	0.1282	0.3865	ortholog_one2one
ENSG00000142945	ENSMMUG00000021929	0.0085	0.0558	ortholog_one2one
ENSG00000196890	ENSMMUG00000053022	0	0	ortholog_one2one
ENSG00000168159	ENSMMUG00000048590	0	0	ortholog_one2one
ENSG00000123843	ENSMMUG00000022168	0.0411	0.0843	ortholog_one2one
ENSG00000116574	ENSMMUG00000057995	0.0018	0.0897	ortholog_one2one
ENSG00000182004	ENSMMUG00000031372	0	0	ortholog_one2one
ENSG00000168118	ENSMMUG00000017720	0.068	0.1341	ortholog_one2one
ENSG00000143842	ENSMMUG00000008460	0.0057	0.0575	ortholog_one2one
ENSG00000154429	ENSMMUG00000017722	0.0231	0.1092	ortholog_one2one
ENSG00000143632	ENSMMUG00000022086	0	0	ortholog_one2one
ENSG00000197965	ENSMMUG00000009184	0.0144	0.0401	ortholog_one2one
ENSG00000143845	ENSMMUG00000008462	0.0632	0.1463	ortholog_one2one
ENSG00000142959	ENSMMUG00000050106	0.0055	0.1112	ortholog_one2one
ENSG00000179456	ENSMMUG00000015664	0.0009	0.0295	ortholog_one2one
ENSG00000069248	ENSMMUG00000022091	0.0111	0.0615	ortholog_one2one
ENSG00000173728	ENSMMUG00000000015	0.0261	0.113	ortholog_one2one
ENSG00000035687	ENSMMUG00000000016	0.0051	0.0592	ortholog_one2one
ENSG00000196352	ENSMMUG00000011711	0.1679	0.1708	ortholog_one2one
ENSG00000117322	ENSMMUG00000013602	0.0374	0.0691	ortholog_one2one
ENSG00000135776	ENSMMUG00000022094	0.0235	0.0746	ortholog_one2one
ENSG00000179397	ENSMMUG00000000021	0.0669	0.0812	ortholog_one2one
ENSG00000188396	ENSMMUG00000006580	0.0331	0.161	ortholog_one2one
ENSG00000173846	ENSMMUG00000006582	0.0152	0.0865	ortholog_one2one
ENSG00000135801	ENSMMUG00000009508	0.0008	0.0402	ortholog_one2one
ENSG00000121644	ENSMMUG00000022310	0.0026	0.0106	ortholog_one2one
ENSG00000222009	ENSMMUG00000040001	0.0133	0.087	ortholog_one2one
ENSG00000135763	ENSMMUG00000009509	0.0299	0.0839	ortholog_one2one
ENSG00000203667	ENSMMUG00000031175	0.0415	0.0178	ortholog_one2one
ENSG00000153187	ENSMMUG00000021098	0.0017	0.0396	ortholog_one2one
ENSG00000143641	ENSMMUG00000002285	0.0016	0.0874	ortholog_one2one
ENSG00000177614	ENSMMUG00000002287	0.0038	0.1238	ortholog_one2one
ENSG00000203710	ENSMMUG00000013596	0.0383	0.081	ortholog_one2one
ENSG00000070785	ENSMMUG00000005342	0.031	0.0742	ortholog_one2one
ENSG00000197721	ENSMMUG00000040888	0.0681	0.0786	ortholog_one2one
ENSG00000126088	ENSMMUG00000016623	0.0067	0.0335	ortholog_one2one
ENSG00000126107	ENSMMUG00000012993	0.0011	0.0932	ortholog_one2one
ENSG00000143839	ENSMMUG00000008464	0.0055	0.1023	ortholog_one2one
ENSG00000170498	ENSMMUG00000003647	0.0757	0.1803	ortholog_one2one
ENSG00000174567	ENSMMUG00000064841	0.1979	0.3766	ortholog_one2one
ENSG00000143850	ENSMMUG00000017114	0.0069	0.0773	ortholog_one2one
ENSG00000133056	ENSMMUG00000016563	0.0045	0.0623	ortholog_one2one
ENSG00000158615	ENSMMUG00000065076	0.0315	0.0402	ortholog_one2one
ENSG00000198625	ENSMMUG00000011236	0.0141	0.0644	ortholog_one2one
ENSG00000170382	ENSMMUG00000063658	0.0038	0.0793	ortholog_one2one
ENSG00000163531	ENSMMUG00000017508	0.0029	0.0667	ortholog_one2one
ENSG00000143199	ENSMMUG00000010380	0.0377	0.0451	ortholog_one2one
ENSG00000143164	ENSMMUG00000010389	0.0047	0.0376	ortholog_one2one
ENSG00000143158	ENSMMUG00000010387	0.004	0.0166	ortholog_one2one
ENSG00000188931	ENSMMUG00000008251	0.0218	0.0201	ortholog_one2one
ENSG00000143147	ENSMMUG00000010395	0.0133	0.0928	ortholog_one2one
ENSG00000143155	ENSMMUG00000051857	0.0293	0.0654	ortholog_one2many
ENSG00000143155	ENSMMUG00000021166	0.0017	0.0345	ortholog_one2many
ENSG00000213064	ENSMMUG00000005283	0.07	0.1456	ortholog_one2one
ENSG00000163444	ENSMMUG00000000801	0	0	ortholog_one2one
ENSG00000197323	ENSMMUG00000014620	0.008	0.048	ortholog_one2one
ENSG00000204178	ENSMMUG00000018014	0	0	ortholog_one2one
ENSG00000158711	ENSMMUG00000001024	0.0106	0.0435	ortholog_one2one
ENSG00000174514	ENSMMUG00000004113	0.0052	0.0695	ortholog_one2one
ENSG00000174842	ENSMMUG00000010095	0.011	0.0124	ortholog_one2one
ENSG00000122484	ENSMMUG00000010096	0.0146	0.0628	ortholog_one2one
ENSG00000116641	ENSMMUG00000002340	0.002	0.0427	ortholog_one2one
ENSG00000160785	ENSMMUG00000004902	0.109	0.2875	ortholog_one2one
ENSG00000118473	ENSMMUG00000000637	0.0043	0.0398	ortholog_one2one
ENSG00000162545	ENSMMUG00000063102	0	0	ortholog_one2one
ENSG00000169905	ENSMMUG00000031279	0.0254	0.0423	ortholog_one2one
ENSG00000090432	ENSMMUG00000051774	0.0013	0.0766	ortholog_one2one
ENSG00000183114	ENSMMUG00000050796	0.0068	0.1395	ortholog_one2one
ENSG00000159208	ENSMMUG00000021388	0.0178	0.039	ortholog_one2one
ENSG00000132676	ENSMMUG00000018080	0.0377	0.1039	ortholog_one2one
ENSG00000143337	ENSMMUG00000014873	0.0332	0.0682	ortholog_one2one
ENSG00000116663	ENSMMUG00000023668	0.1828	0.4575	ortholog_one2one
ENSG00000158748	ENSMMUG00000063749	0.0095	0.1816	ortholog_one2one
ENSG00000162408	ENSMMUG00000023681	0.0154	0.0664	ortholog_one2one
ENSG00000162576	ENSMMUG00000003582	0.0083	0.2919	ortholog_one2one
ENSG00000158825	ENSMMUG00000056564	0.1486	0.4017	ortholog_one2one
ENSG00000009724	ENSMMUG00000007459	0.0225	0.0668	ortholog_one2one
ENSG00000171786	ENSMMUG00000021865	0.0064	0.0894	ortholog_one2one
ENSG00000162409	ENSMMUG00000010406	0	0	ortholog_one2one
ENSG00000162738	ENSMMUG00000020295	0.0008	0.0776	ortholog_one2one
ENSG00000152760	ENSMMUG00000000638	0.0378	0.0682	ortholog_one2one
ENSG00000158828	ENSMMUG00000008835	0.0131	0.0823	ortholog_one2one
ENSG00000162739	ENSMMUG00000015601	0.0897	0.0733	ortholog_one2one
ENSG00000172410	ENSMMUG00000051044	0.0245	0.0872	ortholog_one2one
ENSG00000066294	ENSMMUG00000015470	0.0294	0.0355	ortholog_one2one
ENSG00000198797	ENSMMUG00000022935	0.0023	0.0536	ortholog_one2one
ENSG00000175756	ENSMMUG00000059208	0.035	0.1012	ortholog_one2one
ENSG00000187889	ENSMMUG00000010408	0.0419	0.0592	ortholog_one2one
ENSG00000143353	ENSMMUG00000007806	0.0244	0.0383	ortholog_one2one
ENSG00000117595	ENSMMUG00000022065	0	0	ortholog_one2one
ENSG00000185630	ENSMMUG00000019108	0	0	ortholog_one2one
ENSG00000183853	ENSMMUG00000003191	0.0137	0.1041	ortholog_one2one
ENSG00000152763	ENSMMUG00000000641	0.0223	0.047	ortholog_one2one
ENSG00000157131	ENSMMUG00000022992	0.0282	0.0691	ortholog_one2one
ENSG00000125459	ENSMMUG00000062397	0.3185	0.4831	ortholog_one2many
ENSG00000125459	ENSMMUG00000009981	0.0139	0.0477	ortholog_one2many
ENSG00000177535	ENSMMUG00000005949	0.0241	0.1078	ortholog_one2one
ENSG00000117597	ENSMMUG00000022066	0.0109	0.0517	ortholog_one2one
ENSG00000164010	ENSMMUG00000047471	0.0258	0.0601	ortholog_one2one
ENSG00000142621	ENSMMUG00000003987	0.0249	0.0833	ortholog_one2one
ENSG00000177868	ENSMMUG00000059313	0.0086	0	ortholog_one2one
ENSG00000164008	ENSMMUG00000016111	0.0899	0.125	ortholog_one2one
ENSG00000274386	ENSMMUG00000056187	0.0967	0.2427	ortholog_one2one
ENSG00000066135	ENSMMUG00000012479	0.0039	0.0538	ortholog_one2many
ENSG00000126091	ENSMMUG00000015555	0.0534	0.1082	ortholog_one2one
ENSG00000263956	ENSMMUG00000056325	0.3172	0.4063	ortholog_many2many
ENSG00000263956	ENSMMUG00000055415	0.2357	0.3341	ortholog_many2many
ENSG00000158473	ENSMMUG00000020156	0.0354	0.0755	ortholog_one2one
ENSG00000284824	ENSMMUG00000012954	0.0247	0.085	ortholog_one2many
ENSG00000241128	ENSMMUG00000059455	0.0294	0.0571	ortholog_one2one
ENSG00000169224	ENSMMUG00000005955	0.0253	0.0526	ortholog_one2one
ENSG00000021852	ENSMMUG00000022993	0.0254	0.0623	ortholog_one2one
ENSG00000134243	ENSMMUG00000005812	0.0064	0.0584	ortholog_one2one
ENSG00000158850	ENSMMUG00000022629	0.0051	0.0416	ortholog_one2one
ENSG00000158477	ENSMMUG00000062253	0.0749	0.0996	ortholog_one2one
ENSG00000162600	ENSMMUG00000022762	0.032	0.0805	ortholog_one2one
ENSG00000162542	ENSMMUG00000002492	0.0177	0.1144	ortholog_one2one
ENSG00000197437	ENSMMUG00000016176	0.0157	0.0573	ortholog_one2one
ENSG00000153230	ENSMMUG00000064145	0.0319	0.065	ortholog_one2one
ENSG00000196242	ENSMMUG00000012954	0.0247	0.085	ortholog_one2many
ENSG00000221888	ENSMMUG00000062849	0.0369	0.1123	ortholog_one2one
ENSG00000169214	ENSMMUG00000016175	0.0389	0.068	ortholog_one2one
ENSG00000173406	ENSMMUG00000022995	0.0018	0.0161	ortholog_one2one
ENSG00000143224	ENSMMUG00000022630	0.0054	0.0582	ortholog_one2one
ENSG00000117090	ENSMMUG00000015809	0.0147	0.0571	ortholog_one2one
ENSG00000158481	ENSMMUG00000010626	0.0537	0.0965	ortholog_one2one
ENSG00000076321	ENSMMUG00000016792	0	0	ortholog_one2one
ENSG00000120341	ENSMMUG00000020320	0.0308	0.0656	ortholog_one2one
ENSG00000116670	ENSMMUG00000023669	0.0424	0.127	ortholog_one2one
ENSG00000143469	ENSMMUG00000016349	0.0867	0.195	ortholog_one2one
ENSG00000127603	ENSMMUG00000009562	0.0071	0.0423	ortholog_one2one
ENSG00000178828	ENSMMUG00000054613	0.0278	0.1247	ortholog_one2one
ENSG00000169914	ENSMMUG00000010764	0.0081	0.0645	ortholog_one2one
ENSG00000184005	ENSMMUG00000005990	0.0137	0.0965	ortholog_one2one
ENSG00000158485	ENSMMUG00000016783	0.0823	0.1913	ortholog_one2one
ENSG00000162761	ENSMMUG00000006300	0	0	ortholog_one2one
ENSG00000117069	ENSMMUG00000005994	0.0063	0.0503	ortholog_one2one
ENSG00000121753	ENSMMUG00000023401	0.0011	0.0688	ortholog_one2one
ENSG00000082497	ENSMMUG00000009967	0.0153	0.0351	ortholog_one2one
ENSG00000143171	ENSMMUG00000002892	0.0226	0.1029	ortholog_one2one
ENSG00000120334	ENSMMUG00000008572	0.0238	0.0698	ortholog_one2one
ENSG00000164011	ENSMMUG00000055744	0.0561	0.1857	ortholog_one2one
ENSG00000117593	ENSMMUG00000022798	0.0182	0.0545	ortholog_one2one
ENSG00000117676	ENSMMUG00000022111	0.0018	0.0971	ortholog_one2one
ENSG00000162763	ENSMMUG00000015518	0.0262	0.0458	ortholog_one2one
ENSG00000215817	ENSMMUG00000010539	0.0356	0.0345	ortholog_one2many
ENSG00000143198	ENSMMUG00000015948	0.01	0.0284	ortholog_one2one
ENSG00000185842	ENSMMUG00000051471	0.088	0.1516	ortholog_one2one
ENSG00000054392	ENSMMUG00000016099	0.0592	0.1321	ortholog_one2one
ENSG00000196660	ENSMMUG00000061301	0.0166	0.0808	ortholog_one2one
ENSG00000116991	ENSMMUG00000012068	0.0229	0.1206	ortholog_one2one
ENSG00000221978	ENSMMUG00000060105	0.006	0.1032	ortholog_one2many
ENSG00000221978	ENSMMUG00000006904	0.0965	0.3085	ortholog_one2many
ENSG00000143622	ENSMMUG00000053454	0.0041	0.0288	ortholog_one2one
ENSG00000198160	ENSMMUG00000000643	0.0386	0.2042	ortholog_one2one
ENSG00000185278	ENSMMUG00000022801	0.0028	0.0336	ortholog_one2one
ENSG00000213512	ENSMMUG00000000663	0.0393	0.0873	ortholog_one2one
ENSG00000197591	ENSMMUG00000006214	0.065	0.1034	ortholog_one2one
ENSG00000162722	ENSMMUG00000005570	0.0245	0.0927	ortholog_one2one
ENSG00000117713	ENSMMUG00000012697	0.0015	0.0302	ortholog_one2one
ENSG00000238243	ENSMMUG00000038159	0.02	0.0658	ortholog_one2one
ENSG00000135837	ENSMMUG00000002135	0.0141	0.0571	ortholog_one2one
ENSG00000188784	ENSMMUG00000053964	0.0153	0.1823	ortholog_one2one
ENSG00000117360	ENSMMUG00000016301	0.0295	0.0742	ortholog_one2one
ENSG00000143149	ENSMMUG00000015946	0.0075	0.0641	ortholog_many2many
ENSG00000188257	ENSMMUG00000021862	0.0518	0.1208	ortholog_one2one
ENSG00000143106	ENSMMUG00000051186	0	0	ortholog_one2one
ENSG00000177462	ENSMMUG00000056262	0.0346	0.1218	ortholog_many2many
