Table S7. Ohnolog pairs identified using different outgroups,,,,,,,,,,,
Ohnolog1,chr_ohno1,Position1,Ohnolog2,chr_ohno2,Position2,C_int,C_sav,Amphi,Sea_u,Fly,Worm
ENSG00000162444,1,9979849,ENSG00000114113,3,140678042,None,None,Ohno,None,None,None
ENSG00000162444,1,9979849,ENSG00000114115,3,140741180,None,None,Ohno,None,None,None
ENSG00000009724,1,11029883,ENSG00000127241,3,188492446,Ohno,Ohno,Ohno,None,None,None
ENSG00000083444,1,11917333,ENSG00000152952,3,147361972,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000116688,1,11962956,ENSG00000171109,3,180548174,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000204518,1,12627153,ENSG00000144959,3,173911702,None,Ohno,None,Ohno,None,None
ENSG00000204518,1,12627153,ENSG00000197953,3,152934405,None,Ohno,None,None,None,None
ENSG00000204518,1,12627153,ENSG00000114771,3,153014551,None,Ohno,None,None,None,None
ENSG00000188984,1,12698705,ENSG00000114771,3,153014551,None,Ohno,None,None,None,None
ENSG00000188984,1,12698705,ENSG00000144959,3,173911702,None,Ohno,None,None,None,None
ENSG00000188984,1,12698705,ENSG00000197953,3,152934405,None,Ohno,None,None,None,None
ENSG00000186510,1,16220953,ENSG00000114859,3,185562085,Ohno,None,None,None,None,None
ENSG00000184908,1,16242834,ENSG00000114859,3,185562085,Ohno,Ohno,None,None,None,None
ENSG00000142627,1,16355151,ENSG00000044524,3,89239364,Ohno,Ohno,Ohno,Ohno,Ohno,None
ENSG00000142627,1,16355151,ENSG00000080224,3,98016311,Ohno,None,Ohno,Ohno,Ohno,None
ENSG00000142627,1,16355151,ENSG00000182580,3,185762281,Ohno,None,Ohno,Ohno,Ohno,Ohno
ENSG00000142627,1,16355151,ENSG00000154928,3,135996944,Ohno,None,Ohno,Ohno,Ohno,Ohno
ENSG00000142632,1,16411691,ENSG00000114790,3,155321884,Ohno,Ohno,None,Ohno,Ohno,None
ENSG00000159363,1,17211010,ENSG00000127249,3,194755470,None,None,None,None,Ohno,Ohno
ENSG00000159363,1,17211010,ENSG00000187527,3,194579208,Ohno,None,None,None,Ohno,Ohno
ENSG00000159363,1,17211010,ENSG00000133657,3,195670257,None,None,None,None,Ohno,Ohno
ENSG00000183114,1,20751519,ENSG00000185112,3,195887911,None,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000075151,1,21375927,ENSG00000114867,3,185515050,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000117298,1,21544584,ENSG00000196549,3,156280882,None,None,None,Ohno,None,None
ENSG00000117298,1,21544584,ENSG00000145194,3,185450139,Ohno,Ohno,Ohno,None,Ohno,Ohno
ENSG00000162552,1,22342106,ENSG00000114251,3,55496371,None,Ohno,None,None,Ohno,None
ENSG00000070886,1,22762591,ENSG00000182580,3,185762281,Ohno,None,Ohno,Ohno,Ohno,Ohno
ENSG00000070886,1,22762591,ENSG00000080224,3,98016311,Ohno,None,Ohno,Ohno,Ohno,None
ENSG00000070886,1,22762591,ENSG00000044524,3,89239364,Ohno,Ohno,Ohno,Ohno,Ohno,None
ENSG00000070886,1,22762591,ENSG00000154928,3,135996944,Ohno,None,Ohno,Ohno,Ohno,Ohno
ENSG00000133216,1,22909918,ENSG00000080224,3,98016311,Ohno,None,Ohno,Ohno,Ohno,None
ENSG00000133216,1,22909918,ENSG00000154928,3,135996944,Ohno,None,Ohno,Ohno,Ohno,Ohno
ENSG00000133216,1,22909918,ENSG00000044524,3,89239364,Ohno,Ohno,Ohno,Ohno,Ohno,None
ENSG00000133216,1,22909918,ENSG00000182580,3,185762281,Ohno,None,Ohno,Ohno,Ohno,Ohno
ENSG00000179546,1,23393809,ENSG00000179097,3,88122536,Ohno,Ohno,Ohno,Ohno,Ohno,None
ENSG00000121775,1,32311109,ENSG00000176142,3,120665161,None,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000025800,1,32346231,ENSG00000114030,3,123716474,None,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000134686,1,33613781,ENSG00000173889,3,171382231,Ohno,None,Ohno,Ohno,Ohno,None
ENSG00000183317,1,38003411,ENSG00000044524,3,89239364,Ohno,None,None,None,None,None
ENSG00000183317,1,38003411,ENSG00000080224,3,98016311,Ohno,None,None,None,None,None
ENSG00000183317,1,38003411,ENSG00000182580,3,185762281,Ohno,None,Ohno,Ohno,Ohno,Ohno
ENSG00000183317,1,38003411,ENSG00000154928,3,135996944,Ohno,None,None,None,None,None
ENSG00000185668,1,38285053,ENSG00000064835,3,87408427,Ohno,Ohno,None,None,None,None
ENSG00000187815,1,40715474,ENSG00000196653,3,44729142,None,None,None,None,None,Ohno
ENSG00000164007,1,42978512,ENSG00000066405,3,139200348,Ohno,None,None,None,None,None
ENSG00000164007,1,42978512,ENSG00000163347,3,191522909,Ohno,Ohno,None,None,None,None
ENSG00000117385,1,43005313,ENSG00000170275,3,33130483,None,None,None,None,None,Ohno
ENSG00000117385,1,43005313,ENSG00000090530,3,191321407,Ohno,Ohno,Ohno,Ohno,None,Ohno
ENSG00000117394,1,43197126,ENSG00000163581,3,172227462,Ohno,None,Ohno,Ohno,Ohno,Ohno
ENSG00000126091,1,43945805,ENSG00000064225,3,99933842,Ohno,Ohno,None,None,None,None
ENSG00000117411,1,44217453,ENSG00000121578,3,120442442,None,None,None,None,None,Ohno
ENSG00000117859,1,51815439,ENSG00000144909,3,126796624,None,None,None,None,None,Ohno
ENSG00000143126,1,109594164,ENSG00000008300,3,48684985,Ohno,None,Ohno,Ohno,Ohno,Ohno
ENSG00000143028,1,109810623,ENSG00000163630,3,63439181,None,None,Ohno,Ohno,None,None
ENSG00000162650,1,109828084,ENSG00000163635,3,63825273,Ohno,Ohno,Ohno,Ohno,None,None
ENSG00000174151,1,109838244,ENSG00000114395,3,50363301,Ohno,Ohno,Ohno,Ohno,None,None
ENSG00000065135,1,109892824,ENSG00000114353,3,50248640,Ohno,Ohno,None,None,Ohno,Ohno
ENSG00000134183,1,109957228,ENSG00000114349,3,50204047,None,None,None,None,Ohno,None
ENSG00000162775,1,110678039,ENSG00000179837,3,51403771,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000116473,1,111886363,ENSG00000214405,3,105264567,Ohno,None,None,None,None,None
ENSG00000134245,1,112810686,ENSG00000114251,3,55496371,None,None,None,None,Ohno,Ohno
ENSG00000198799,1,113417354,ENSG00000144749,3,66634041,Ohno,None,Ohno,Ohno,Ohno,Ohno
ENSG00000081026,1,113734998,ENSG00000151276,3,65999023,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000213171,1,150044506,ENSG00000175928,3,3816121,None,None,None,None,Ohno,None
ENSG00000143552,1,152394216,ENSG00000132182,3,13436809,None,None,None,None,Ohno,None
ENSG00000158710,1,158161908,ENSG00000144834,3,113200276,Ohno,Ohno,Ohno,None,Ohno,Ohno
ENSG00000143217,1,159325966,ENSG00000177707,3,112273413,None,Ohno,None,None,None,None
ENSG00000158850,1,159413938,ENSG00000121578,3,120442442,None,None,Ohno,None,Ohno,Ohno
ENSG00000143257,1,159474624,ENSG00000144852,3,120982021,None,None,None,None,None,Ohno
ENSG00000143167,1,165326492,ENSG00000144847,3,120347588,Ohno,None,None,None,None,None
ENSG00000143153,1,167341559,ENSG00000069849,3,143078160,None,None,None,None,None,Ohno
ENSG00000116132,1,168899937,ENSG00000168779,3,159306630,None,None,None,None,None,Ohno
ENSG00000117601,1,172153096,ENSG00000114204,3,168674515,None,None,None,None,None,Ohno
ENSG00000117601,1,172153096,ENSG00000163536,3,168936217,None,None,None,None,None,Ohno
ENSG00000162702,1,198645789,ENSG00000163848,3,126576888,None,None,Ohno,None,None,None
ENSG00000081248,1,199348317,ENSG00000157388,3,53504116,Ohno,Ohno,None,Ohno,Ohno,None
ENSG00000163431,1,200182339,ENSG00000163380,3,69254407,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000143862,1,200380489,ENSG00000134108,3,5138930,None,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000058668,1,201862312,ENSG00000157087,3,10724716,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000170382,1,202921220,ENSG00000175928,3,3816121,Ohno,None,Ohno,None,Ohno,None
ENSG00000163531,1,203064446,ENSG00000134121,3,213650,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000184144,1,203278963,ENSG00000144619,3,2255513,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000184144,1,203278963,ENSG00000134115,3,1109456,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000184144,1,203278963,ENSG00000113805,3,74653033,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000133069,1,203463661,ENSG00000172765,3,131081999,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000162873,1,203592789,ENSG00000185909,3,49184072,Ohno,None,Ohno,Ohno,None,None
ENSG00000133065,1,204048821,ENSG00000114544,3,127285824,Ohno,None,None,None,Ohno,Ohno
ENSG00000198049,1,204390567,ENSG00000180914,3,8786300,Ohno,Ohno,None,Ohno,None,Ohno
ENSG00000163486,1,204582820,ENSG00000196220,3,9266311,Ohno,Ohno,Ohno,Ohno,None,Ohno
ENSG00000136653,1,204747502,ENSG00000068028,3,50353385,Ohno,Ohno,Ohno,None,None,Ohno
ENSG00000162889,1,204924912,ENSG00000114738,3,50629605,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000123836,1,205293243,ENSG00000114268,3,48569231,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000076356,1,206484288,ENSG00000004399,3,130808351,None,Ohno,None,Ohno,None,None
ENSG00000076356,1,206484288,ENSG00000164050,3,48446464,None,Ohno,None,Ohno,None,None
ENSG00000076356,1,206484288,ENSG00000114554,3,128190127,Ohno,Ohno,Ohno,None,Ohno,Ohno
ENSG00000008118,1,207823668,ENSG00000134072,3,9786661,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000054392,1,208568920,ENSG00000010282,3,42718017,None,None,None,None,Ohno,Ohno
ENSG00000117724,1,212843155,ENSG00000173230,3,122951292,None,Ohno,None,None,None,None
ENSG00000097021,1,6376413,ENSG00000205794,4,39735214,Ohno,None,Ohno,None,None,None
ENSG00000197241,1,9008991,ENSG00000109667,4,9650970,Ohno,None,Ohno,None,None,None
ENSG00000142583,1,9052257,ENSG00000109667,4,9650970,Ohno,None,Ohno,None,None,None
ENSG00000121764,1,31855888,ENSG00000056291,4,73116385,None,None,None,None,None,Ohno
ENSG00000183317,1,38003411,ENSG00000145242,4,66218104,None,None,None,None,None,Ohno
ENSG00000134249,1,120240641,ENSG00000168594,4,176076132,Ohno,Ohno,None,Ohno,None,Ohno
ENSG00000143401,1,148475084,ENSG00000184701,4,165338313,Ohno,Ohno,None,Ohno,None,Ohno
ENSG00000117691,1,210672903,ENSG00000164040,4,129429434,Ohno,None,None,None,None,None
ENSG00000187554,1,221383247,ENSG00000137462,4,154843472,Ohno,None,None,None,None,None
ENSG00000162526,1,32600385,ENSG00000212122,5,112798585,Ohno,None,None,None,None,None
ENSG00000187513,1,35031186,ENSG00000176857,5,108416057,Ohno,None,None,None,None,None
ENSG00000198754,1,40009607,ENSG00000083720,5,41906548,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000066322,1,43606286,ENSG00000164181,5,60119016,None,Ohno,Ohno,Ohno,Ohno,None
ENSG00000142945,1,44978138,ENSG00000068796,5,61637746,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000173846,1,45038623,ENSG00000145632,5,57791670,Ohno,Ohno,None,Ohno,Ohno,Ohno
ENSG00000162415,1,45444837,ENSG00000130449,5,60852928,Ohno,Ohno,None,None,None,None
ENSG00000159592,1,45924795,ENSG00000062194,5,56505701,None,None,None,Ohno,None,None
ENSG00000086015,1,46041872,ENSG00000069020,5,65927932,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000117461,1,46371053,ENSG00000145675,5,67558218,Ohno,None,Ohno,Ohno,Ohno,Ohno
ENSG00000169213,1,52228936,ENSG00000152932,5,57914696,None,Ohno,None,Ohno,Ohno,Ohno
ENSG00000134717,1,52294385,ENSG00000145741,5,72830006,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000157077,1,52380634,ENSG00000039319,5,79739594,None,None,None,None,Ohno,Ohno
ENSG00000116157,1,52840632,ENSG00000164294,5,54491744,Ohno,Ohno,Ohno,Ohno,Ohno,None
ENSG00000162383,1,53380837,ENSG00000079215,5,36642446,None,Ohno,None,None,Ohno,Ohno
ENSG00000157216,1,54644680,ENSG00000145687,5,81082828,Ohno,Ohno,Ohno,Ohno,Ohno,None
ENSG00000162390,1,54786489,ENSG00000172497,5,80725709,Ohno,Ohno,Ohno,None,None,None
ENSG00000162391,1,54861817,ENSG00000152380,5,79819556,None,Ohno,None,Ohno,Ohno,Ohno
ENSG00000162407,1,56817845,ENSG00000067113,5,54866630,None,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000162409,1,56883578,ENSG00000132356,5,40834054,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000157131,1,57093065,ENSG00000039537,5,41297297,Ohno,Ohno,None,None,None,None
ENSG00000157131,1,57093065,ENSG00000112936,5,40945356,Ohno,Ohno,None,None,None,None
ENSG00000021852,1,57204276,ENSG00000113600,5,39400412,None,Ohno,None,None,None,None
ENSG00000021852,1,57204276,ENSG00000039537,5,41297297,Ohno,None,None,None,None,None
ENSG00000021852,1,57204276,ENSG00000112936,5,40945356,Ohno,None,None,None,None,None
ENSG00000173406,1,58488763,ENSG00000153071,5,39461092,Ohno,Ohno,Ohno,None,Ohno,Ohno
ENSG00000184588,1,66030785,ENSG00000113448,5,59320301,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000118473,1,66771654,ENSG00000157107,5,72287655,Ohno,Ohno,None,Ohno,Ohno,Ohno
ENSG00000198160,1,67153227,ENSG00000155545,5,56292377,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000081985,1,67545635,ENSG00000113594,5,38631253,None,None,Ohno,None,None,None
ENSG00000081985,1,67545635,ENSG00000164509,5,55182964,None,None,Ohno,None,None,None
ENSG00000081985,1,67545635,ENSG00000145623,5,38881893,None,None,Ohno,Ohno,None,None
ENSG00000024526,1,68735353,ENSG00000035499,5,60031718,None,None,None,Ohno,None,None
ENSG00000033122,1,69806669,ENSG00000112851,5,65258158,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000134240,1,120113041,ENSG00000112972,5,43349352,Ohno,Ohno,None,None,Ohno,None
ENSG00000168509,1,144124628,ENSG00000174136,5,98132900,Ohno,Ohno,Ohno,Ohno,None,Ohno
ENSG00000117289,1,144149939,ENSG00000113369,5,90714877,Ohno,Ohno,None,None,Ohno,None
ENSG00000121851,1,144181744,ENSG00000113356,5,89806437,None,None,None,Ohno,None,None
ENSG00000181039,1,144181865,ENSG00000189127,5,79901854,None,None,Ohno,Ohno,None,None
ENSG00000152022,1,144188516,ENSG00000145721,5,96504195,Ohno,Ohno,None,None,None,None
ENSG00000143127,1,144236347,ENSG00000213949,5,52119893,Ohno,Ohno,None,None,None,None
ENSG00000143127,1,144236347,ENSG00000164171,5,52320913,Ohno,Ohno,None,None,None,None
ENSG00000143140,1,145712108,ENSG00000176857,5,108416057,Ohno,Ohno,None,None,None,None
ENSG00000121634,1,145841560,ENSG00000176857,5,108416057,Ohno,Ohno,None,None,None,None
ENSG00000159164,1,148156058,ENSG00000122012,5,75415060,Ohno,Ohno,Ohno,Ohno,Ohno,None
ENSG00000014914,1,148176876,ENSG00000150712,5,32348871,None,None,None,None,Ohno,None
ENSG00000143457,1,148936257,ENSG00000113384,5,32210182,None,None,None,None,None,Ohno
ENSG00000143434,1,149385728,ENSG00000092421,5,115938529,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000143434,1,149385728,ENSG00000112902,5,9599233,None,None,None,None,None,Ohno
ENSG00000163154,1,149395729,ENSG00000145779,5,118752897,Ohno,None,Ohno,Ohno,Ohno,None
ENSG00000143554,1,152013454,ENSG00000113396,5,128329109,Ohno,None,None,None,Ohno,Ohno
ENSG00000143603,1,153109378,ENSG00000080709,5,113725565,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000143620,1,153302837,ENSG00000184349,5,107034213,Ohno,Ohno,Ohno,None,Ohno,Ohno
ENSG00000143590,1,153317972,ENSG00000184349,5,107034213,Ohno,Ohno,Ohno,Ohno,None,None
ENSG00000169242,1,153366560,ENSG00000184349,5,107034213,Ohno,None,Ohno,Ohno,None,Ohno
ENSG00000163462,1,153412970,ENSG00000152503,5,114544142,None,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000169231,1,153444314,ENSG00000113296,5,79366859,Ohno,Ohno,Ohno,Ohno,Ohno,None
ENSG00000173171,1,153445114,ENSG00000177034,5,79322836,Ohno,Ohno,None,None,None,Ohno
ENSG00000116521,1,153498819,ENSG00000085365,5,77692163,Ohno,Ohno,None,Ohno,Ohno,Ohno
ENSG00000143630,1,153513998,ENSG00000164588,5,45731977,Ohno,None,None,None,None,None
ENSG00000173080,1,154178105,ENSG00000182631,5,33972246,Ohno,None,None,None,None,None
ENSG00000116584,1,154226488,ENSG00000038102,5,73215339,Ohno,None,None,None,None,None
ENSG00000160789,1,154318993,ENSG00000113368,5,126140732,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000196189,1,154386434,ENSG00000092421,5,115938529,None,Ohno,None,None,None,None
ENSG00000116604,1,154737153,ENSG00000081189,5,88214780,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000183856,1,154809020,ENSG00000145703,5,75734905,Ohno,Ohno,Ohno,Ohno,None,Ohno
ENSG00000187800,1,155130136,ENSG00000145794,5,126654514,Ohno,Ohno,Ohno,None,Ohno,Ohno
ENSG00000174502,1,204179211,ENSG00000155850,5,149320493,None,None,None,None,None,Ohno
ENSG00000196482,1,215377720,ENSG00000113580,5,142795270,None,None,None,None,None,Ohno
ENSG00000142627,1,16355151,ENSG00000135333,6,94185993,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
ENSG00000179002,1,19058742,ENSG00000173612,6,117256901,None,None,None,None,Ohno,None
ENSG00000070886,1,22762591,ENSG00000135333,6,94185993,Ohno,Ohno,Ohno,Ohno,Ohno,Ohno
